gene_id,SRR18457646,SRR18457114,SRR18457498,SRR18457762,SRR18457122,SRR18457271,SRR18457788,SRR18457520,SRR18457521,SRR18457644,SRR18457119,SRR18457054,SRR18457009,SRR18457118,SRR18457099,SRR18457329,SRR18457613,SRR18457101,SRR18457127,SRR18456998,SRR18457032,SRR18457008,SRR18457110,SRR18457201,SRR18457569,SRR18457737,SRR18457116,SRR18457053,SRR18457738,SRR18457224,SRR18457175,SRR18457692,SRR18457121,SRR18457317,SRR18456940,SRR18457115,SRR18457693,SRR18457694,SRR18457199,SRR18457764,SRR18457272,SRR18457200,SRR18457412,SRR18457791,SRR18457505,SRR18456950,SRR18457316,SRR18457112,SRR18457109,SRR18457113,SRR18457484,SRR18457614,SRR18456951,SRR18457497,SRR18457222,SRR18457331,SRR18457661,SRR18457666,SRR18457111,SRR18457485,SRR18457667,SRR18456996,SRR18457789,SRR18457120,SRR18457649,SRR18457176,SRR18457117
LOC123475973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC123475974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC123475975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC123475977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC123475979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC123475980,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC123475981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC123475982,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,10,0,1,4,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,6,1,0,0,0,0,0,1,0,0,0,2,2,0,1,0,0,0,4,0,0
LOC123475983,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
LOC123475984,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,4,0,2,3,0,0,0,3,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
